,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
1568,Edge,pinfall,Finn Bálor,Single Match,No Title Match,***¾,1087,2023-04-02,2023-04-01,No Title Match
1569,Roman Reigns (c),pinfall,Cody Rhodes,Single Match,WWE Championship WWE Universal Championship,****½,2068,2023-04-02,2023-04-01,still champion
1570,Austin Theory (c),pinfall,John Cena,Single Match,WWE United States Championship,**¼,679,2023-04-01,2023-04-01,still champion
1571,Angelo Dawkins & Montez Ford,pinfall,"Braun Strowman & Ricochet, Chad Gable & Otis, Erik & Ivar",Tag Team,No Title Match,***¾,508,2023-04-01,2023-04-01,No Title Match
1572,Seth Rollins,pinfall,Logan Paul,Single Match,No Title Match,****½,973,2023-04-01,2023-04-01,No Title Match
1573,Becky Lynch & Lita & Trish Stratus,pinfall,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,**¾,878,2023-04-01,2023-04-01,No Title Match
1574,Rey Mysterio,pinfall,Dominik Mysterio,Single Match,No Title Match,****,867,2023-04-01,2023-04-01,No Title Match
1575,Rhea Ripley,pinfall,Charlotte Flair (c),Single Match,WWE Smackdown Women's Title (title change),****¾,1413,2023-04-01,2023-04-01,new champion
1576,Pat McAfee,pinfall,The Miz,Single Match,No Title Match,*½,214,2023-04-01,2023-04-01,No Title Match
1577,Kevin Owens & Sami Zayn,pinfall,Jey Uso (c) & Jimmy Uso (c),Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship (title change),*****,1456,2023-04-01,2023-04-01,new champion
1578,Tegan Nox,victory,Lacey Evans,Single Match,No Title Match,-,550,2023-03-31,2023-03-01,No Title Match
1579,Ricochet,pinfall,"Chad Gable, Erik, Montez Ford",Fatal Fourway,No Title Match,***½,576,2023-03-31,2023-03-01,No Title Match
1580,Bobby Lashley,victory,"Angel, Angelo Dawkins, Ashante ""Thee"" Adonis, Baron Corbin, Braun Strowman, Bronson Reed, Butch, Cedric Alexander, Cruz Del Toro, Dexter Lumis, Dolph Ziggler, Elias, Humberto, Ivar, Joaquin Wilde, Johnny Gargano, Karl Anderson, Karrion Kross, L.A. Knight, Luke Gallows, ma.çé, Madcap Moss, Mustafa Ali, mån.sôör, Otis, Rick Boogs, Ridge Holland, Santos Escobar, Shelton Benjamin, Top Dolla, Xavier Woods",Single Match,No Title Match,-,870,2023-03-31,2023-03-01,No Title Match
1581,Raquel Rodriguez,pinfall,"Natalya, Shayna Baszler, Sonya Deville",Fatal Fourway,No Title Match,-,172,2023-03-31,2023-03-01,No Title Match
1582,Drew McIntyre & Sheamus,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,526,2023-03-31,2023-03-01,No Title Match
1583,Becky Lynch,pinfall,Iyo Sky,Single Match,No Title Match,-,710,2023-03-27,2023-03-01,No Title Match
1584,Seth Rollins,pinfall,Mustafa Ali,Single Match,No Title Match,-,127,2023-03-27,2023-03-01,No Title Match
1585,Angelo Dawkins & Braun Strowman & Montez Ford & Ricochet,pinfall,Chad Gable & Erik & Ivar & Otis,Tag Team,No Title Match,-,681,2023-03-27,2023-03-01,No Title Match
1586,Chelsea Green & Sonya Deville,pinfall,Candice LeRae & Michin,Tag Team,No Title Match,-,177,2023-03-27,2023-03-01,No Title Match
1587,Rey Mysterio,DQ,Damian Priest,Single Match,No Title Match,-,190,2023-03-27,2023-03-01,No Title Match
1588,Gunther,pinfall,Dolph Ziggler,Single Match,No Title Match,-,343,2023-03-27,2023-03-01,No Title Match
1589,Cody Rhodes,pinfall,Solo Sikoa,Single Match,No Title Match,-,773,2023-03-27,2023-03-01,No Title Match
1590,Dana Brooke,pinfall,Elektra Lopez,Single Match,No Title Match,-,310,2023-03-27,2023-03-01,No Title Match
1591,Dexter Lumis,pinfall,Odyssey Jones,Single Match,No Title Match,-,515,2023-03-27,2023-03-01,No Title Match
1592,Bianca BelAir (c),victory,Chelsea Green,Single Match,WWE Raw Women's Title,-,1082,2023-03-26,2023-03-01,still champion
1593,Butch & Ridge Holland & Sheamus,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-03-26,2023-03-01,No Title Match
1594,Bronson Reed,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-03-26,2023-03-01,No Title Match
1595,Charlotte Flair (c),victory,"Liv Morgan, Sonya Deville",Triple Threat,WWE Smackdown Women's Title,-,609,2023-03-26,2023-03-01,still champion
1596,Asuka & Mia Yim,victory,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-26,2023-03-01,No Title Match
1597,Austin Theory (c),victory,"Bobby Lashley, The Miz",Triple Threat,WWE United States Championship,-,964,2023-03-26,2023-03-01,still champion
1598,Braun Strowman & Cody Rhodes & Ricochet,victory,Jey Uso & Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-03-26,2023-03-01,No Title Match
1599,Bianca BelAir (c),victory,"Becky Lynch, Chelsea Green",Triple Threat,WWE Raw Women's Title,-,1082,2023-03-25,2023-03-01,still champion
1600,Bronson Reed,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-03-25,2023-03-01,No Title Match
1601,Asuka & Mia Yim,victory,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-25,2023-03-01,No Title Match
1602,Braun Strowman & Cody Rhodes & Ricochet,victory,Jey Uso & Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-03-25,2023-03-01,No Title Match
1603,Butch & Ridge Holland & Sheamus,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-03-25,2023-03-01,No Title Match
1604,Charlotte Flair (c),victory,"Liv Morgan, Sonya Deville",Triple Threat,WWE Smackdown Women's Title,-,609,2023-03-25,2023-03-01,still champion
1605,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-25,2023-03-01,still champion
1606,Cody Rhodes,pinfall,Ludwig Kaiser,Single Match,No Title Match,-,987,2023-03-24,2023-03-01,No Title Match
1607,L.A. Knight,pinfall,Rey Mysterio,Single Match,No Title Match,-,661,2023-03-24,2023-03-01,No Title Match
1608,Natalya & Shotzi,submission,Lacey Evans & Xia Li,Tag Team,No Title Match,-,217,2023-03-24,2023-03-01,No Title Match
1609,Gunther,pinfall,Butch,Single Match,No Title Match,-,573,2023-03-24,2023-03-01,No Title Match
1610,Austin Theory,pinfall,Montez Ford,Single Match,No Title Match,-,546,2023-03-20,2023-03-01,No Title Match
1611,Omos,pinfall,Mustafa Ali,Single Match,No Title Match,-,55,2023-03-20,2023-03-01,No Title Match
1612,Dominik Mysterio,pinfall,Johnny Gargano,Single Match,No Title Match,-,615,2023-03-20,2023-03-01,No Title Match
1613,Rhea Ripley,pinfall,Bayley,Single Match,No Title Match,-,643,2023-03-20,2023-03-01,No Title Match
1614,Ricochet,pinfall,Chad Gable,Single Match,No Title Match,***½,635,2023-03-20,2023-03-01,No Title Match
1615,Asuka & Bianca BelAir,pinfall,Chelsea Green & Piper Niven,Tag Team,No Title Match,-,396,2023-03-20,2023-03-01,No Title Match
1616,Bronson Reed,victory,Nathan Frazer,Single Match,No Title Match,-,550,2023-03-20,2023-03-01,No Title Match
1617,Shelton Benjamin,victory,Charlie Dempsey,Single Match,No Title Match,-,550,2023-03-20,2023-03-01,No Title Match
1618,Jey Uso (c) & Jimmy Uso (c),victory,Butch & Ridge Holland,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-03-19,2023-03-01,still champion
1619,Rhea Ripley & Shayna Baszler,victory,Liv Morgan & Raquel Rodriguez,Tag Team,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1620,Drew McIntyre & Karl Anderson & Luke Gallows,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1621,Erik & Ivar,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1622,Charlotte Flair (c),victory,"Shotzi, Sonya Deville",Triple Threat,WWE Smackdown Women's Title,-,609,2023-03-19,2023-03-01,still champion
1623,Solo Sikoa,victory,Sami Zayn,Single Match,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1624,Bobby Lashley,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1625,Candice LeRae & Mia Yim,victory,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1626,Bronson Reed,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1627,Dominik Mysterio,victory,Santos Escobar,Single Match,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1628,Cody Rhodes,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1629,Braun Strowman & Ricochet,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-03-19,2023-03-01,No Title Match
1630,Bianca BelAir (c),victory,"Bayley, Becky Lynch, Chelsea Green",Fatal Fourway,WWE Raw Women's Title,-,1082,2023-03-19,2023-03-01,still champion
1631,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-19,2023-03-01,still champion
1632,Jey Uso (c) & Jimmy Uso (c),victory,Butch & Ridge Holland,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-03-18,2023-03-01,still champion
1633,Shotzi,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1634,Erik & Ivar,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1635,Charlotte Flair (c),victory,Sonya Deville,Single Match,WWE Smackdown Women's Title,-,609,2023-03-18,2023-03-01,still champion
1636,Rhea Ripley,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1637,Drew McIntyre & Karl Anderson & Luke Gallows,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1638,Solo Sikoa,victory,Sami Zayn,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1639,Bianca BelAir (c),victory,"Bayley, Becky Lynch, Chelsea Green",Fatal Fourway,WWE Raw Women's Title,-,1082,2023-03-18,2023-03-01,still champion
1640,Bronson Reed,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1641,Dominik Mysterio,victory,Santos Escobar,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1642,Candice LeRae & Michin,victory,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1643,Cody Rhodes,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1644,Braun Strowman & Ricochet,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1645,Bobby Lashley,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-03-18,2023-03-01,No Title Match
1646,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-18,2023-03-01,still champion
1647,Braun Strowman & Ricochet,victory,"Ashante ""Thee"" Adonis & Top Dolla",Tag Team,No Title Match,-,550,2023-03-17,2023-03-01,No Title Match
1648,Dominik Mysterio & Rhea Ripley,pinfall,Santos Escobar & Zelina Vega,Tag Team,No Title Match,-,431,2023-03-17,2023-03-01,No Title Match
1649,Liv Morgan & Raquel Rodriguez,pinfall,Emma & Tegan Nox,Tag Team,No Title Match,-,225,2023-03-17,2023-03-01,No Title Match
1650,Xavier Woods,pinfall,L.A. Knight,Single Match,No Title Match,-,139,2023-03-17,2023-03-01,No Title Match
1651,Drew McIntyre,draw (NC),Sheamus,Single Match,No Title Match,-,698,2023-03-17,2023-03-01,No Title Match
1652,Cody Rhodes,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-03-17,2023-03-01,still champion
1653,Damian Priest & Dominik Mysterio,pinfall,Dexter Lumis & Johnny Gargano,Tag Team,No Title Match,-,839,2023-03-13,2023-03-01,No Title Match
1654,Cody Rhodes,pinfall,L.A. Knight,Single Match,No Title Match,-,578,2023-03-13,2023-03-01,No Title Match
1655,Bronson Reed,pinfall,Elias,Single Match,No Title Match,-,126,2023-03-13,2023-03-01,No Title Match
1656,Austin Theory,pinfall,Angelo Dawkins,Single Match,No Title Match,-,573,2023-03-13,2023-03-01,No Title Match
1657,Seth Rollins,pinfall,Baron Corbin,Single Match,No Title Match,-,139,2023-03-13,2023-03-01,No Title Match
1658,Bianca BelAir,pinfall,Chelsea Green,Single Match,No Title Match,-,486,2023-03-13,2023-03-01,No Title Match
1659,Solo Sikoa,pinfall,Kevin Owens,Single Match,No Title Match,-,695,2023-03-13,2023-03-01,No Title Match
1660,Cedric Alexander,victory,Dante Chen,Single Match,No Title Match,-,550,2023-03-13,2023-03-01,No Title Match
1661,Akira Tozawa,victory,Trick Williams,Single Match,No Title Match,-,550,2023-03-13,2023-03-01,No Title Match
1662,Asuka & Becky Lynch & Bianca BelAir & Candice LeRae & Nikki Cross,pinfall,Bayley & Carmella & Dakota Kai & Iyo Sky & Piper Niven,Tag Team,No Title Match,-,550,2023-03-12,2023-03-01,No Title Match
1663,Ricochet,victory,"Baron Corbin, Bobby Lashley, Bronson Reed, Damian Priest, Dexter Lumis, Dolph Ziggler, Dominik Mysterio, Drew McIntyre, Finn Bálor, Johnny Gargano, Karrion Kross, Kofi Kingston, L.A. Knight, Mustafa Ali, Omos, Otis, Rey Mysterio, Rick Boogs, Santos Escobar, Sheamus, The Miz, Xavier Woods",Battle Royal/Andre The Giant Memorial,No Title Match,-,550,2023-03-12,2023-03-01,No Title Match
1664,Gunther (c),victory,Ricochet,Single Match,WWE Intercontinental Championship,-,1012,2023-03-12,2023-03-01,still champion
1665,Cody Rhodes,DQ,Solo Sikoa,Single Match,No Title Match,-,550,2023-03-12,2023-03-01,No Title Match
1666,Braun Strowman,pinfall,L.A. Knight,Single Match,No Title Match,-,550,2023-03-12,2023-03-01,No Title Match
1667,Charlotte Flair (c),submission,"Liv Morgan, Sonya Deville",Triple Threat,WWE Smackdown Women's Title,-,609,2023-03-12,2023-03-01,still champion
1668,Austin Theory (c),pinfall,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-12,2023-03-01,still champion
1669,Candice LeRae & Michin,victory,Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1670,Braun Strowman & Ricochet,victory,Erik & Ivar,Tag Team,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1671,Liv Morgan,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1672,Santos Escobar,victory,The Miz,Single Match,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1673,Drew McIntyre & Rey Mysterio & Sheamus,victory,Jey Uso & Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1674,Giovanni Vinci & Ludwig Kaiser,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1675,Asuka & Bianca BelAir & Candice LeRae,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-11,2023-03-01,No Title Match
1676,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-11,2023-03-01,still champion
1677,Liv Morgan & Raquel Rodriguez,victory,Sonya Deville & Xia Li,Tag Team,No Title Match,-,550,2023-03-10,2023-03-01,No Title Match
1678,Drew McIntyre & Sheamus,pinfall,"Karrion Kross, L.A. Knight, Xavier Woods",Tag Team,No Title Match,***½,1055,2023-03-10,2023-03-01,No Title Match
1679,Damian Priest & Dominik Mysterio & Finn Bálor,pinfall,Cruz Del Toro & Joaquin Wilde & Santos Escobar,Tag Team,No Title Match,-,550,2023-03-10,2023-03-01,No Title Match
1680,Erik & Ivar,pinfall,Braun Strowman & Ricochet,Tag Team,No Title Match,-,650,2023-03-10,2023-03-01,No Title Match
1681,Charlotte Flair,submission,Shotzi,Single Match,No Title Match,-,485,2023-03-10,2023-03-01,No Title Match
1682,Gunther,victory,Butch,Single Match,No Title Match,-,160,2023-03-10,2023-03-01,No Title Match
1683,Bianca BelAir (c),victory,Bayley,Single Match,WWE Raw Women's Title,-,424,2023-03-10,2023-03-01,still champion
1684,Kevin Owens,DQ,Solo Sikoa,Single Match,No Title Match,-,685,2023-03-06,2023-03-01,No Title Match
1685,Bianca BelAir,pinfall,Carmella,Single Match,No Title Match,-,554,2023-03-06,2023-03-01,No Title Match
1686,Omos,pinfall,Dolph Ziggler,Single Match,No Title Match,-,44,2023-03-06,2023-03-01,No Title Match
1687,Johnny Gargano,pinfall,Finn Bálor,Single Match,No Title Match,-,630,2023-03-06,2023-03-01,No Title Match
1688,Piper Niven,pinfall,Nikki Cross,Single Match,No Title Match,-,52,2023-03-06,2023-03-01,No Title Match
1689,Chad Gable,submission,Baron Corbin,Single Match,No Title Match,-,122,2023-03-06,2023-03-01,No Title Match
1690,Sami Zayn,pinfall,Jimmy Uso,Single Match,No Title Match,-,637,2023-03-06,2023-03-01,No Title Match
1691,Carmelo Hayes,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-03-06,2023-03-01,No Title Match
1692,Karl Anderson & Luke Gallows,victory,ma.çé & mån.sôör,Tag Team,No Title Match,-,550,2023-03-06,2023-03-01,No Title Match
1693,Gunther (c),victory,Ricochet,Single Match,WWE Intercontinental Championship,-,1012,2023-03-05,2023-03-01,still champion
1694,Rhea Ripley,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1695,Santos Escobar,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1696,Drew McIntyre,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1697,Kevin Owens,DQ,Solo Sikoa,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1698,Ridge Holland,victory,Cruz Del Toro,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1699,Charlotte Flair (c),victory,Shayna Baszler,Single Match,WWE Smackdown Women's Title,-,609,2023-03-05,2023-03-01,still champion
1700,Braun Strowman & Ricochet & Sami Zayn,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1701,Johnny Gargano,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1702,Johnny Gargano,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1703,Karl Anderson & Luke Gallows,victory,Damian Priest & Dominik Mysterio,Tag Team,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1704,Bronson Reed,victory,Elias,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1705,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1706,Candice LeRae & Mia Yim,draw (NC),Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1707,Asuka & Candice LeRae & Mia Yim,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-05,2023-03-01,No Title Match
1708,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-05,2023-03-01,still champion
1709,Candice LeRae & Mia Yim,draw (NC),Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1710,Asuka & Candice LeRae & Mia Yim,victory,Bayley & Dakota Kai & Iyo Sky,Tag Team,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1711,Karl Anderson & Luke Gallows,victory,Damian Priest & Dominik Mysterio,Tag Team,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1712,Bronson Reed,victory,Elias,Single Match,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1713,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1714,Dolph Ziggler,victory,Mustafa Ali,Single Match,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1715,Johnny Gargano,victory,Baron Corbin,Single Match,No Title Match,-,550,2023-03-04,2023-03-01,No Title Match
1716,Austin Theory (c),victory,Seth Rollins,Single Match,WWE United States Championship,-,964,2023-03-04,2023-03-01,still champion
1717,Charlotte Flair (c),victory,Shayna Baszler,Single Match,WWE Smackdown Women's Title,-,609,2023-03-04,2023-03-01,still champion
